,Movie,Year,Runtime,IMDBRatings,Metascore Rating,Votes,US Gross
455,The Best Years of Our Lives,1946,170,8.0,93,56996,23.65
456,Arsenic and Old Lace,1944,118,8.0,-1,64767,
457,The Maltese Falcon,1941,100,8.0,96,148162,2.11
458,The Grapes of Wrath,1940,129,8.0,96,85292,0.06
459,The Wizard of Oz,1939,102,8.0,92,369767,2.08
460,La règle du jeu,1939,110,8.0,-1,26535,
461,The Thin Man,1934,91,8.0,86,26281,
462,All Quiet on the Western Front,1930,152,8.0,91,57013,3.27
463,Bronenosets Potemkin,1925,75,8.0,97,52714,0.05
464,Knives Out,2019,130,7.9,82,431325,165.36
465,Dil Bechara,2020,101,7.9,-1,109053,
466,Call Me by Your Name,2017,132,7.9,93,208157,18.1
467,"I, Daniel Blake",2016,100,7.9,78,53053,0.26
468,Isle of Dogs,2018,101,7.9,82,136797,32.02
469,Dunkirk,2017,106,7.9,94,547350,188.37
470,Hunt for the Wilderpeople,2016,101,7.9,81,109305,5.2
471,Captain Fantastic,2016,118,7.9,72,186984,5.88
472,Sing Street,2016,106,7.9,79,84378,3.24
473,Thor: Ragnarok,2017,130,7.9,74,579612,315.06
474,Nightcrawler,2014,117,7.9,76,460460,32.38
475,Jojo Rabbit,2019,108,7.9,58,285346,0.35
476,Arrival,2016,116,7.9,81,588092,100.55
477,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,854974,936.66
478,Before Midnight,2013,109,7.9,94,139892,8.11
